Category,Sub_Category,Revenue,Profit,Orders,Margin
Furniture,Bookcases,1187164.84,359820.77,957,0.30309250904027785
Furniture,Chairs,1189267.9,360358.23,976,0.3030084558744081
Furniture,Storage,1287724.58,389800.16,1023,0.3027046047377615
Furniture,Tables,1259713.62,382938.78,982,0.3039887589688837
Office Supplies,Art Supplies,351813.51,104799.2,1000,0.29788281865582705
Office Supplies,Binders,352922.47,107395.18000000001,985,0.3043024718715134
Office Supplies,Labels,370723.77,111927.74,1088,0.30191681531507947
Office Supplies,Paper,364305.91,108982.14,1038,0.2991500741780445
Technology,Accessories,1747455.12,522151.1,1016,0.2988065868037858
Technology,Laptops,1721344.55,517968.99,980,0.30090953609490906
Technology,Monitors,1688074.75,504958.91,979,0.2991330271363872
Technology,Phones,1687400.83,494048.83,976,0.29278688336309516
