Year_Month,Revenue,Profit,Orders
2024-01,558470.54,167614.6,505
2024-02,521478.89,155980.36,475
2024-03,569107.91,169781.09,495
2024-04,527497.55,160369.63,480
2024-05,504992.2,152759.96,472
2024-06,496690.55,153173.97,485
2024-07,587011.51,179665.32,531
2024-08,559274.08,166457.61,496
2024-09,562504.74,167183.11,503
2024-10,606684.74,182860.74,502
2024-11,538108.01,158501.97,491
2024-12,524092.12,160588.82,472
2025-01,580931.08,173213.81,533
2025-02,539968.51,159424.32,523
2025-03,586700.98,177265.65,548
2025-04,583036.1,176694.54,509
2025-05,527161.71,158967.53,504
2025-06,495944.65,148402.77,454
2025-07,511838.86,154987.73,486
2025-08,608936.43,178093.69,550
2025-09,544520.35,168158.07,487
2025-10,555544.85,163914.66,514
2025-11,566117.38,167532.44,486
2025-12,551298.11,163557.64,499
